src_port,dst_port,protocol,duration,pkt_count,total_bytes,mean_pkt_len,max_pkt_len,mean_iat,bytes_per_sec,label
49265,5355,17,0.2048168182373047,2,158,79.0,79,0.2048168182373047,771.421025674455,0
60230,137,17,0,1,92,92.0,92,0,0,0
5050,5050,17,54.661415576934814,23,6578,286.0,286,2.4846097989515825,120.34082781375467,0
12223,12223,17,10.292996406555176,3,1131,377.0,377,5.146498203277588,109.88053967255966,0
5353,5353,17,3.7864232063293457,3,252,84.0,84,1.8932116031646729,66.55357477705066,0
5050,5050,17,2.163663625717163,2,148,74.0,74,2.163663625717163,68.40249946474201,0
65202,5355,17,0,1,79,79.0,79,0,0,0
1900,1900,17,0.06533432006835938,2,828,414.0,414,0.06533432006835938,12673.277982133473,0
50773,5355,17,0.10049581527709961,2,158,79.0,79,0.10049581527709961,1572.2047685701407,0
12223,12223,17,10.035830736160278,2,754,377.0,377,10.035830736160278,75.13080080986713,0
58584,5355,17,0.09730029106140137,2,158,79.0,79,0.09730029106140137,1623.8389245957555,0
37020,37020,17,0,1,166,166.0,166,0,0,0
137,137,17,0,1,92,92.0,92,0,0,0
138,138,17,0.0013322830200195312,2,432,216.0,216,0.0013322830200195312,324255.4273443092,0
3702,3702,17,0.0006361007690429688,2,1674,837.0,845,0.0006361007690429688,2631658.5067466265,0
60362,5355,17,0.0981299877166748,2,158,79.0,79,0.0981299877166748,1610.109240573682,0
3702,3702,17,0.0007126331329345703,2,1674,837.0,845,0.0007126331329345703,2349034.7594513213,0
59695,5355,17,0.10161447525024414,2,158,79.0,79,0.10161447525024414,1554.8965795561728,0
443,60560,17,30.04251217842102,38,7080,186.31578947368422,1494,0.8119597886059735,235.66604410284413,0
12223,12223,17,10.021453857421875,3,1131,377.0,377,5.0107269287109375,112.85787632124683,0
5353,5353,17,3.747722864151001,3,252,84.0,84,1.8738614320755005,67.24083106851803,0
5353,5353,17,0,1,161,161.0,161,0,0,0
